transaction_id,purchaser_id,owner_id,transaction_date,client_type,product_description,event_date,area,row_number,seat_number
a682da60-db6a-4ac8-8d14-ed017d2ffd6a,fcf11082-4675-4ad3-8e7d-8ffe14d12690,fcf11082-4675-4ad3-8e7d-8ffe14d12690,2024-08-13,Season Ticket Holder,2024/25 Sheffield United V Queens Park Rangers,2024-08-17,1889 Restaurant,K,10
e8f5bcb5-4596-4aef-b5e7-d5cf09959a2a,cd6685fe-526d-4d0e-90ab-5abe31174d76,cd6685fe-526d-4d0e-90ab-5abe31174d76,2025-07-31,Match by Match Ticket Holder,2025/26 Sheffield United V Birmingham City,2025-12-20,1889 Restaurant,J,11
d9edc563-a8af-4e5a-adc5-6ae77bee8a8e,257f13a5-83b3-e911-80e7-0050560100ae,257f13a5-83b3-e911-80e7-0050560100ae,2025-08-01,Season Ticket Holder,2025/26 Sheffield United V Leicester City,2026-01-01,The Pavilion,R,109
c31a4ef0-5897-4c4a-bcb9-7b4504017002,20a2287c-4f43-ef11-84a5-d4866d756a55,20a2287c-4f43-ef11-84a5-d4866d756a55,2024-09-01,Match by Match Ticket Holder,2024/25 Sheffield United V Portsmouth,2025-02-08,The Pavilion,Y,109
32cd9530-363c-44be-8e20-e919e1b020f1,4da8a438-4a12-ec11-8315-c1590597c6b7,4da8a438-4a12-ec11-8315-c1590597c6b7,2024-07-30,Match by Match Ticket Holder,2024/25 Sheffield United V Luton Town,2024-10-05,The Pavilion,Y,114
46491813-71a3-47bb-ac40-2c6b6ccd03ac,4b94042c-49bc-44b6-8d2b-8df5ba2c8dd8,4b94042c-49bc-44b6-8d2b-8df5ba2c8dd8,2025-08-01,Match by Match Ticket Holder,2025/26 Sheffield United V Watford,2025-10-18,The Pavilion,U,110
ddab891f-8f10-46f2-9a28-21e995d6eb5d,c0582f3f-90d1-47fd-98f4-352738207834,c0582f3f-90d1-47fd-98f4-352738207834,2025-08-01,Season Ticket Holder,2025/26 Sheffield United V Stoke City,2025-12-06,The Pavilion,P,124
7387664d-4023-4424-aba5-23ec61cbf68a,c1bce03b-7867-47b2-be87-58e4b380345e,c1bce03b-7867-47b2-be87-58e4b380345e,2024-08-21,Match by Match Ticket Holder,2023/24 Sufc V Brighton & Hove Albion - Fac4,2024-01-27,The Pavilion,Y,113
23c7a189-c992-4005-baba-2a0b723ead55,4da8a438-4a12-ec11-8315-c1590597c6b7,4da8a438-4a12-ec11-8315-c1590597c6b7,2024-07-30,Match by Match Ticket Holder,2024/25 Sheffield United V Stoke City,2024-10-26,The Pavilion,Y,114
b654e58d-b5f0-4f56-bf8c-b3f625ce3443,31f86814-61c6-4224-a3e0-2cb084f69bfc,31f86814-61c6-4224-a3e0-2cb084f69bfc,2024-07-30,Season Ticket Holder,2024/25 Sheffield United V Bristol City,2025-03-11,Tony Currie Suite,A,8
6c899b60-d51a-428d-b6a7-28464b02423f,f5440457-d292-4191-bd2a-6d4e83cd9fcb,f5440457-d292-4191-bd2a-6d4e83cd9fcb,2025-08-01,Season Ticket Holder,2025/26 Sheffield United V Portsmouth,2025-11-26,The Pavilion,Q,115
caec12ef-302f-4751-8657-59d21866b5f9,27527839-08e3-4272-8f06-eea3f013f23a,27527839-08e3-4272-8f06-eea3f013f23a,2025-08-01,Season Ticket Holder,2025/26 Sheffield United V West Bromwich Albion,2026-03-07,The Pavilion,S,110
fcc45969-46e7-4ed0-8500-7e9f450ec3d5,448deb03-7e59-4c21-bd01-0ce9360da6bb,448deb03-7e59-4c21-bd01-0ce9360da6bb,2024-07-30,Season Ticket Holder,2024/25 Sheffield United V Queens Park Rangers,2024-08-17,The Pavilion,AA,119
6d9e37a5-5aa6-40be-a0f1-756ad40534da,e01c7046-20c2-4255-8f72-592b2df5a9fb,e01c7046-20c2-4255-8f72-592b2df5a9fb,2025-08-01,Season Ticket Holder,2025/26 Sheffield United V Hull City,2026-04-11,The Pavilion,P,111
1b47958e-ec88-49c8-84f0-6fbe4c6cd45e,f3156ddf-7a71-486b-8ea1-cbdcef531988,f3156ddf-7a71-486b-8ea1-cbdcef531988,2024-08-16,Match by Match Ticket Holder,2024/25 Sheffield United V Queens Park Rangers,2024-08-17,1889 Restaurant,C,7
6746120e-9197-4530-b295-5dd6579411f3,cf5007d1-0ae5-46a4-8961-546b0bc62ee2,cf5007d1-0ae5-46a4-8961-546b0bc62ee2,2024-07-30,Match by Match Ticket Holder,2024/25 Sheffield United V Luton Town,2024-10-05,The Pavilion,V,123
d592d20c-19fa-447a-bccb-ec4108ee8661,f3156ddf-7a71-486b-8ea1-cbdcef531988,f3156ddf-7a71-486b-8ea1-cbdcef531988,2025-05-12,Match by Match Ticket Holder,2024/25 Sheffield United Fc V Bristol City Fc,2025-05-12,1889 Restaurant,G,4
fcc6cb88-cd61-4e2a-911e-d35841ef54fd,4da8a438-4a12-ec11-8315-c1590597c6b7,4da8a438-4a12-ec11-8315-c1590597c6b7,2024-07-30,Match by Match Ticket Holder,2024/25 Sheffield United V Sheffield Wednesday,2024-11-10,The Pavilion,Y,114
5ae8ebf0-2a56-49ac-b40a-5e8d6f02623c,c0582f3f-90d1-47fd-98f4-352738207834,c0582f3f-90d1-47fd-98f4-352738207834,2025-08-01,Season Ticket Holder,2025/26 Sheffield United V Birmingham City,2025-12-20,The Pavilion,P,124
cc9b8840-e921-4f7c-8934-95d7160ac9f1,f3156ddf-7a71-486b-8ea1-cbdcef531988,f3156ddf-7a71-486b-8ea1-cbdcef531988,2025-03-03,Match by Match Ticket Holder,2024/25 Sheffield United V Bristol City,2025-03-11,1889 Restaurant,M,10
2c649ce9-d726-4b1c-b853-7d1285d30ea6,f3156ddf-7a71-486b-8ea1-cbdcef531988,f3156ddf-7a71-486b-8ea1-cbdcef531988,2025-08-06,Match by Match Ticket Holder,2025/26 Sheffield United V Bristol City,2025-08-09,1889 Restaurant,M,9
11f84080-7858-4a4c-85ab-5f4712932f09,1dd2aec9-e438-408c-b50a-bb1dee48286f,1dd2aec9-e438-408c-b50a-bb1dee48286f,2024-07-30,Season Ticket Holder,2024/25 Sheffield United V Coventry City,2025-03-28,The Pavilion,O,113
ff4c858c-a9ff-4ffd-9160-9f31f160a3f5,257f13a5-83b3-e911-80e7-0050560100ae,257f13a5-83b3-e911-80e7-0050560100ae,2024-07-30,Season Ticket Holder,2024/25 Sheffield United V Derby County,2024-09-21,The Pavilion,R,111
1ff40504-5872-43f9-853e-a13ae373ad07,f3156ddf-7a71-486b-8ea1-cbdcef531988,f3156ddf-7a71-486b-8ea1-cbdcef531988,2025-11-05,Match by Match Ticket Holder,2025/26 Sheffield United V Queens Park Rangers,2025-11-08,1889 Restaurant,A,3
fb691339-60cd-4a83-b42d-1dce1228ebaa,8ad3eaa5-148e-4179-9551-dca2037e8c01,8ad3eaa5-148e-4179-9551-dca2037e8c01,2025-08-01,Match by Match Ticket Holder,2025/26 Sheffield United V Southampton Fc,2025-09-30,The Pavilion,Y,119
f40ee125-e14a-477c-9a45-314d63e1dc77,31f86814-61c6-4224-a3e0-2cb084f69bfc,31f86814-61c6-4224-a3e0-2cb084f69bfc,2024-07-30,Season Ticket Holder,2024/25 Sheffield United V Blackburn Rovers,2025-05-03,Tony Currie Suite,A,8
042f50fd-2b7a-458c-ac73-b5e4be44bf74,f5440457-d292-4191-bd2a-6d4e83cd9fcb,f5440457-d292-4191-bd2a-6d4e83cd9fcb,2025-08-01,Season Ticket Holder,2025/26 Sheffield United V Leicester City,2026-01-01,The Pavilion,Q,115
094f20c8-3b71-4086-b66c-112e541de70e,265c1531-a930-48d8-b4cb-5eb1460b37c4,265c1531-a930-48d8-b4cb-5eb1460b37c4,2025-03-17,Match by Match Ticket Holder,2024/25 Sufc U21 V Barnsley U21,2025-03-18,1889 Restaurant,J,11
6c37e3fa-9924-4392-9451-6cd7a7080aba,8ad3eaa5-148e-4179-9551-dca2037e8c01,8ad3eaa5-148e-4179-9551-dca2037e8c01,2024-08-06,Match by Match Ticket Holder,2024/25 Sheffield United V Millwall,2025-04-08,The Pavilion,Y,116
1cfacddc-8d09-4129-81f1-66e5a8f60daf,20a2287c-4f43-ef11-84a5-d4866d756a55,20a2287c-4f43-ef11-84a5-d4866d756a55,2024-09-01,Match by Match Ticket Holder,2024/25 Sheffield United V Millwall,2025-04-08,The Pavilion,Y,109
a60ee6a0-9aa0-4472-b0ff-e89c503cf6de,4155b9f3-bc05-ec11-8315-bff3dee54289,4155b9f3-bc05-ec11-8315-bff3dee54289,2024-07-30,Season Ticket Holder,2024/25 Sheffield United V Bristol City,2025-03-11,The Pavilion,P,115
d26ed627-33c6-437b-9f57-031067a05d17,a4b522c0-a596-4ccf-b09f-2a26e7a0fe1e,a4b522c0-a596-4ccf-b09f-2a26e7a0fe1e,2024-08-13,Match by Match Ticket Holder,2024/25 Sheffield United V Swansea,2024-10-02,1889 Restaurant,D,3
a69d4caa-dcde-4d93-9931-1cc59c35addf,ef72ad41-8697-481f-b4c3-9d0ec201ac5f,2cca4d01-94fb-4e03-8d12-3284d6898806,2025-08-04,Season Ticket Holder,2025/26 Sheffield United V Southampton Fc,2025-09-30,The Pavilion,L,113
16418570-fe4a-4f00-9423-d32dd96f3e9f,5e0ee253-27fc-4e10-810a-b4de5fc2a268,5e0ee253-27fc-4e10-810a-b4de5fc2a268,2025-08-29,Match by Match Ticket Holder,2025/26 Sheffield United V Derby County,2025-11-01,The Pavilion,V,113
6e71ba8f-bd0a-4ddb-9019-2432106c178f,c1bce03b-7867-47b2-be87-58e4b380345e,c1bce03b-7867-47b2-be87-58e4b380345e,2024-08-21,Match by Match Ticket Holder,2023/24 Sufc V Brighton & Hove Albion - Fac4,2024-01-27,1889 Restaurant,L,11
08bc1639-1fe9-443c-9a62-0094d8781c51,257f13a5-83b3-e911-80e7-0050560100ae,257f13a5-83b3-e911-80e7-0050560100ae,2025-08-01,Season Ticket Holder,2025/26 Sheffield United V Wrexham,2026-03-21,The Pavilion,R,109
cf294b0d-693b-4a44-93c5-dec9ca83347a,f3156ddf-7a71-486b-8ea1-cbdcef531988,f3156ddf-7a71-486b-8ea1-cbdcef531988,2024-11-20,Match by Match Ticket Holder,2024/25 Sheffield United V Sunderland,2024-11-29,1889 Restaurant,A,13
dacf5a1c-e20e-485b-93f2-c8528c70a40c,b9ea4a16-e043-ed11-83d1-f00c21b6812c,b9ea4a16-e043-ed11-83d1-f00c21b6812c,2024-07-30,Season Ticket Holder,2024/25 Sheffield United V Sunderland,2024-11-29,The Pavilion,X,112
246d0922-b142-4eb6-b996-8bfe3cad9b2f,0c3a6a75-1c69-4ae3-a75c-24c6414f6ef2,0c3a6a75-1c69-4ae3-a75c-24c6414f6ef2,2024-07-31,Season Ticket Holder,2024/25 Sheffield United V Coventry City,2025-03-28,Tony Currie Suite,A,35
a0adde16-f34b-48f6-9ec1-3db6a4e09c7e,96dcc320-5d6b-44e5-ae63-e98262121af3,96dcc320-5d6b-44e5-ae63-e98262121af3,2024-07-31,Season Ticket Holder,2024/25 Sheffield United V West Bromwich Albion,2024-12-29,Tony Currie Suite,A,53
bdd960c8-896e-49a3-8e00-6a7d88f7e245,1b95f74b-34c6-47ea-8a03-38186041ac21,1b95f74b-34c6-47ea-8a03-38186041ac21,2024-10-14,Match by Match Ticket Holder,2024/25 Sufc U21 V Swfc U21,2024-10-14,1889 Restaurant,H,4
fd1515b1-4ad2-420f-985a-c7e1be2ca903,448deb03-7e59-4c21-bd01-0ce9360da6bb,448deb03-7e59-4c21-bd01-0ce9360da6bb,2024-07-30,Season Ticket Holder,2024/25 Sheffield United V Sheffield Wednesday,2024-11-10,The Pavilion,AA,119
e1d9ca0b-bcd1-45ed-94f9-091039bab0ef,f3156ddf-7a71-486b-8ea1-cbdcef531988,f3156ddf-7a71-486b-8ea1-cbdcef531988,2025-03-03,Match by Match Ticket Holder,2024/25 Sheffield United V Bristol City,2025-03-11,1889 Restaurant,K,13
337dfaa1-0452-4251-b49b-c93dc7a5b0dc,f3156ddf-7a71-486b-8ea1-cbdcef531988,f3156ddf-7a71-486b-8ea1-cbdcef531988,2024-08-16,Match by Match Ticket Holder,2024/25 Sheffield United V Queens Park Rangers,2024-08-17,1889 Restaurant,C,1
258cede0-645c-4e8e-aff5-a5e31cd418d6,6901fca7-8596-ed11-83d1-de321cb623a0,6901fca7-8596-ed11-83d1-de321cb623a0,2024-09-20,Season Ticket Holder,2024/25 Sheffield United V Stoke City,2024-10-26,The Pavilion,Q,124
5a41ec6a-33db-41c4-a881-c9daa3a45932,f3156ddf-7a71-486b-8ea1-cbdcef531988,f3156ddf-7a71-486b-8ea1-cbdcef531988,2025-03-24,Match by Match Ticket Holder,2024/25 Sheffield United V Coventry City,2025-03-28,1889 Restaurant,A,5
852d619c-cf64-44ee-98b4-0eeec84ca2af,f3156ddf-7a71-486b-8ea1-cbdcef531988,f3156ddf-7a71-486b-8ea1-cbdcef531988,2024-09-18,Match by Match Ticket Holder,2024/25 Sheffield United V Derby County,2024-09-21,1889 Restaurant,B,13
77c7d50e-52f5-4efc-8cf4-9acf9bea04da,67771d76-fa8d-4fbf-aadb-bf7d7806fc5c,67771d76-fa8d-4fbf-aadb-bf7d7806fc5c,2024-08-13,Season Ticket Holder,2024/25 Sheffield United V Stoke City,2024-10-26,1889 Restaurant,J,9
ac22d14f-81d0-4ece-a16c-360978b360f5,f3156ddf-7a71-486b-8ea1-cbdcef531988,f3156ddf-7a71-486b-8ea1-cbdcef531988,2024-08-12,Match by Match Ticket Holder,2024/25 Sheffield United Fc V Wrexham Afc,2024-08-13,The Pavilion,N,109
7ec1bb09-c21e-4336-9053-5f3981015fcc,f3156ddf-7a71-486b-8ea1-cbdcef531988,f3156ddf-7a71-486b-8ea1-cbdcef531988,2025-12-01,Match by Match Ticket Holder,2025/26 Sheffield United V Norwich City,2025-12-09,1889 Restaurant,E,5
212cefc6-334f-4377-aeef-05e2616489b2,6901fca7-8596-ed11-83d1-de321cb623a0,6901fca7-8596-ed11-83d1-de321cb623a0,2024-09-20,Season Ticket Holder,2024/25 Sheffield United V Sheffield Wednesday,2024-11-10,The Pavilion,Q,124
136036b3-6694-40b5-a787-5f9f51d53e51,3d7c9cda-caf4-4610-a81c-a34947db10b6,3d7c9cda-caf4-4610-a81c-a34947db10b6,2024-08-16,Match by Match Ticket Holder,2024/25 Sheffield United V Leeds United,2025-02-24,Tony Currie Suite,A,85
c81be2d8-5a6f-423a-a57f-681630a6e6d3,f3156ddf-7a71-486b-8ea1-cbdcef531988,f3156ddf-7a71-486b-8ea1-cbdcef531988,2024-08-12,Match by Match Ticket Holder,2024/25 Sheffield United Fc V Wrexham Afc,2024-08-13,The Pavilion,N,110
2dff7eed-98bb-4c54-94da-aed7421aa762,01ecaf61-563b-ed11-83d1-afe4f709d266,01ecaf61-563b-ed11-83d1-afe4f709d266,2024-07-30,Match by Match Ticket Holder,2024/25 Sheffield United V Preston North End,2025-03-08,The Pavilion,O,124
b7222c7f-67e4-453b-a9a6-ab479be14d56,cf5007d1-0ae5-46a4-8961-546b0bc62ee2,cf5007d1-0ae5-46a4-8961-546b0bc62ee2,2024-07-30,Match by Match Ticket Holder,2024/25 Sheffield United V Norwich City,2025-01-18,The Pavilion,V,123
d33027ae-193e-4e36-b50f-d70a746f7205,6901fca7-8596-ed11-83d1-de321cb623a0,6901fca7-8596-ed11-83d1-de321cb623a0,2024-09-20,Season Ticket Holder,2024/25 Sheffield United V Oxford United,2024-11-26,The Pavilion,Q,124
80a1e20c-9d99-4216-b03f-34c374a3d163,5f7eb934-1a12-4903-922c-248802bcb226,5f7eb934-1a12-4903-922c-248802bcb226,2024-07-30,Season Ticket Holder,2024/25 Sheffield United V Hull City,2025-01-24,The Pavilion,N,107
8b5e20b2-0024-4e1d-9918-66b79f7fbfb6,f3156ddf-7a71-486b-8ea1-cbdcef531988,f3156ddf-7a71-486b-8ea1-cbdcef531988,2024-08-12,Match by Match Ticket Holder,2024/25 Sheffield United Fc V Wrexham Afc,2024-08-13,The Pavilion,N,107
6a389227-b075-4743-84b7-03f171b49218,2e760591-624c-4056-abd4-2c7c5c42fbff,2e760591-624c-4056-abd4-2c7c5c42fbff,2024-09-13,Season Ticket Holder,2024/25 Sheffield United V West Bromwich Albion,2024-12-29,The Pavilion,Z,123
c003bcdf-a55f-4536-93b1-d778e58b864f,257f13a5-83b3-e911-80e7-0050560100ae,257f13a5-83b3-e911-80e7-0050560100ae,2024-07-30,Season Ticket Holder,2024/25 Sheffield United V Burnley,2024-12-26,The Pavilion,R,111
6bb95f36-9383-42e5-8e03-dc7a0dbc1671,3d703b5a-f978-4e25-afa3-6da5b21c3cf9,3d703b5a-f978-4e25-afa3-6da5b21c3cf9,2025-08-08,Season Ticket Holder,2025/26 Sheffield United V Southampton Fc,2025-09-30,The Pavilion,V,114
332fd578-310e-4454-8fca-0ab5ef272ee4,a6605b3b-9469-ed11-83d1-ea9028dbdfae,a6605b3b-9469-ed11-83d1-ea9028dbdfae,2024-08-16,Season Ticket Holder,2024/25 Sheffield United V Queens Park Rangers,2024-08-17,The Pavilion,Z,109
a6e8d7a3-45a5-4848-9b01-29e880f9deaf,2e760591-624c-4056-abd4-2c7c5c42fbff,2e760591-624c-4056-abd4-2c7c5c42fbff,2024-09-13,Season Ticket Holder,2024/25 Sheffield United V Norwich City,2025-01-18,The Pavilion,Z,123
7dfe37d2-53c5-4f76-b578-4f9ed51682bc,1b95f74b-34c6-47ea-8a03-38186041ac21,1b95f74b-34c6-47ea-8a03-38186041ac21,2024-10-14,Match by Match Ticket Holder,2024/25 Sufc U21 V Swfc U21,2024-10-14,1889 Restaurant,G,12
9dd0aa05-ccc3-4abc-a223-e345aab7f2ed,60e50fef-5d81-4070-a52c-a79448c341e2,60e50fef-5d81-4070-a52c-a79448c341e2,2024-07-31,Season Ticket Holder,2024/25 Sheffield United V Leeds United,2025-02-24,Tony Currie Suite,B,50
872ea7c7-ae76-4bcb-8eae-18f1283cd5a1,cd6685fe-526d-4d0e-90ab-5abe31174d76,cd6685fe-526d-4d0e-90ab-5abe31174d76,2024-08-14,Match by Match Ticket Holder,2024/25 Sheffield United V Blackburn Rovers,2025-05-03,1889 Restaurant,J,13
1721b665-ff3f-41c2-89f9-2af6419f85c9,b9ea4a16-e043-ed11-83d1-f00c21b6812c,b9ea4a16-e043-ed11-83d1-f00c21b6812c,2024-07-30,Season Ticket Holder,2024/25 Sheffield United V Portsmouth,2025-02-08,The Pavilion,X,112
be008626-67a3-4166-ae28-f85daae21d0c,8ad3eaa5-148e-4179-9551-dca2037e8c01,8ad3eaa5-148e-4179-9551-dca2037e8c01,2024-08-06,Match by Match Ticket Holder,2024/25 Sheffield United V Luton Town,2024-10-05,The Pavilion,Y,117
79dcb7c6-b108-4887-aab6-86a97684ace1,ac9b3fe2-0380-42ae-be2b-37880184fe44,ac9b3fe2-0380-42ae-be2b-37880184fe44,2024-07-30,Season Ticket Holder,2024/25 Sheffield United V Oxford United,2024-11-26,The Pavilion,S,124
3d3f4772-6bf6-4a7b-bcf9-a55d64675870,f3156ddf-7a71-486b-8ea1-cbdcef531988,f3156ddf-7a71-486b-8ea1-cbdcef531988,2025-03-03,Match by Match Ticket Holder,2024/25 Sheffield United V Bristol City,2025-03-11,1889 Restaurant,H,9
7c84c807-471d-4292-9b39-a8de8d41380b,20a2287c-4f43-ef11-84a5-d4866d756a55,20a2287c-4f43-ef11-84a5-d4866d756a55,2024-09-01,Match by Match Ticket Holder,2024/25 Sheffield United V Stoke City,2024-10-26,The Pavilion,Y,110
d89a4769-e5fc-43eb-b941-b7f518353e75,4b94042c-49bc-44b6-8d2b-8df5ba2c8dd8,4b94042c-49bc-44b6-8d2b-8df5ba2c8dd8,2025-08-01,Match by Match Ticket Holder,2025/26 Sheffield United V Wrexham,2026-03-21,The Pavilion,U,110
367e6036-9969-44ef-abce-9130eae7ff0e,3d7c9cda-caf4-4610-a81c-a34947db10b6,3d7c9cda-caf4-4610-a81c-a34947db10b6,2024-08-16,Match by Match Ticket Holder,2024/25 Sheffield United V Cardiff City,2025-04-18,Tony Currie Suite,A,85
1cf95c1c-97d2-4448-9821-efcca146b80c,f3156ddf-7a71-486b-8ea1-cbdcef531988,f3156ddf-7a71-486b-8ea1-cbdcef531988,2024-08-16,Match by Match Ticket Holder,2024/25 Sheffield United V Queens Park Rangers,2024-08-17,1889 Restaurant,B,8
30ec1529-0712-4122-a5d9-f94eb4e9cd3c,f2d1ee47-aaad-43c2-92e0-765af45684a3,f2d1ee47-aaad-43c2-92e0-765af45684a3,2024-07-29,Match by Match Ticket Holder,2024/25 Sheffield United V Watford,2024-09-01,The Pavilion,Q,111
7cb3dd91-dbf6-458c-bca3-21911441713f,f51a5e99-7c66-4810-bc1c-e12e5720b18d,f51a5e99-7c66-4810-bc1c-e12e5720b18d,2024-07-31,Match by Match Ticket Holder,2024/25 Sheffield United V Queens Park Rangers,2024-08-17,Tony Currie Suite,B,64
897a382d-d555-4be6-b3e7-3d21eba51dd7,90a1bf21-2d18-4692-b48f-4e31da627541,90a1bf21-2d18-4692-b48f-4e31da627541,2025-07-31,Season Ticket Holder,2025/26 Sheffield United V Stoke City,2025-12-06,1889 Restaurant,L,6
2122b503-7273-4a77-9be5-cfd696edd453,96dcc320-5d6b-44e5-ae63-e98262121af3,96dcc320-5d6b-44e5-ae63-e98262121af3,2024-07-31,Season Ticket Holder,2024/25 Sheffield United V Coventry City,2025-03-28,Tony Currie Suite,A,53
97773d1d-a040-4fa1-99d8-de68bd5f5ff3,da2492f1-753f-4e93-984e-1d5b8e03158d,da2492f1-753f-4e93-984e-1d5b8e03158d,2024-07-31,Season Ticket Holder,2024/25 Sheffield United V Coventry City,2025-03-28,Tony Currie Suite,B,24
31fe9f40-142d-4f70-9c31-0056258b8af0,86eb448a-896a-42f7-a0ff-567385c8d23a,86eb448a-896a-42f7-a0ff-567385c8d23a,2025-08-01,Season Ticket Holder,2025/26 Sheffield United V Hull City,2026-04-11,The Pavilion,W,107
522dfd70-d30f-4551-a58d-24764f7ee17d,f3156ddf-7a71-486b-8ea1-cbdcef531988,f3156ddf-7a71-486b-8ea1-cbdcef531988,2025-12-01,Match by Match Ticket Holder,2025/26 Sheffield United V Norwich City,2025-12-09,1889 Restaurant,D,11
0985ce90-f0cd-4026-b4d3-298bbb7f882e,90a1bf21-2d18-4692-b48f-4e31da627541,90a1bf21-2d18-4692-b48f-4e31da627541,2025-07-31,Season Ticket Holder,2025/26 Sheffield United V Norwich City,2025-12-09,1889 Restaurant,L,6
633523bc-ade6-48af-91f0-aa3d1e494099,b9ea4a16-e043-ed11-83d1-f00c21b6812c,b9ea4a16-e043-ed11-83d1-f00c21b6812c,2025-08-01,Season Ticket Holder,2025/26 Sheffield United V Bristol City,2025-08-09,The Pavilion,X,110
45cf5008-d7c8-465e-9204-3fcc9d266abb,1b95f74b-34c6-47ea-8a03-38186041ac21,1b95f74b-34c6-47ea-8a03-38186041ac21,2024-10-14,Match by Match Ticket Holder,2024/25 Sufc U21 V Swfc U21,2024-10-14,1889 Restaurant,G,8
52213bc7-12a9-497f-a9cf-783614c10818,a4b522c0-a596-4ccf-b09f-2a26e7a0fe1e,a4b522c0-a596-4ccf-b09f-2a26e7a0fe1e,2024-08-13,Match by Match Ticket Holder,2024/25 Sheffield United V Portsmouth,2025-02-08,1889 Restaurant,D,3
983ff093-9c11-426f-9e4d-8f0a4ac8dc0b,f3156ddf-7a71-486b-8ea1-cbdcef531988,f3156ddf-7a71-486b-8ea1-cbdcef531988,2024-09-18,Match by Match Ticket Holder,2024/25 Sheffield United V Derby County,2024-09-21,1889 Restaurant,B,4
2afe41ed-b523-469b-bc63-321f1b82afb3,1d3452b3-0bc0-4ab1-9136-42e84d4b4719,1d3452b3-0bc0-4ab1-9136-42e84d4b4719,2024-07-31,Season Ticket Holder,2024/25 Sheffield United V Portsmouth,2025-02-08,Tony Currie Suite,A,52
1a9eeab8-fc20-4f78-861e-48ead4100110,3d703b5a-f978-4e25-afa3-6da5b21c3cf9,3d703b5a-f978-4e25-afa3-6da5b21c3cf9,2025-08-08,Season Ticket Holder,2025/26 Sheffield United V Norwich City,2025-12-09,The Pavilion,V,114
eb8d4ce3-d30a-4f1d-9842-b4b6559c69f9,f3156ddf-7a71-486b-8ea1-cbdcef531988,f3156ddf-7a71-486b-8ea1-cbdcef531988,2024-08-13,Match by Match Ticket Holder,2024/25 Sheffield United Fc V Wrexham Afc,2024-08-13,1889 Restaurant,M,9
cd384cee-a2af-4347-ae28-7eda8dd594e3,20a2287c-4f43-ef11-84a5-d4866d756a55,20a2287c-4f43-ef11-84a5-d4866d756a55,2024-09-01,Match by Match Ticket Holder,2024/25 Sheffield United V Burnley,2024-12-26,The Pavilion,Y,110
